ticker,code,name,sector,market_cap,market_cap_bucket
5108.T,5108,Bridgestone Corp.,Rubber,4293731549184,Large
5101.T,5101,"The Yokohama Rubber Co., Ltd.",Rubber,1220020404224,Mid
8601.T,8601,Daiwa Securities Group Inc.,Securities,2254612201472,Mid
8604.T,8604,"Nomura Holdings , Inc.",Securities,4198847741952,Large
6532.T,6532,Baycurrent Inc.,Services,818106531840,Small
4751.T,4751,CyberAgent Inc.,Services,666581729280,Small
2432.T,2432,"Dena Co., Ltd.",Services,238201257984,Small
4324.T,4324,Dentsu Inc.,Services,782652866560,Small
6178.T,6178,"Japan Post Holdings Co., Ltd.",Services,6251071143936,Large
9766.T,9766,Konami Corp.,Services,2400027410432,Mid
4689.T,4689,LY Corporation,Services,2790241337344,Mid
4385.T,4385,Mercari Inc.,Services,654396620800,Small
2413.T,2413,M3 Inc. ( TYO : 2413 ) (Parent company for MDLinx ),Services,1138634129408,Small
3659.T,3659,"Nexon Co., Ltd.",Services,1742442463232,Mid
7974.T,7974,"Nintendo Co., Ltd.",Services,8069802622976,Large
4307.T,4307,Nomura Research Institute Ltd.,Services,2385810554880,Mid
4661.T,4661,"Oriental Land Co., Ltd.",Services,3807774769152,Large
4755.T,4755,Rakuten Inc.,Services,1558535864320,Mid
6098.T,6098,"Recruit Holdings Co., Ltd.",Services,15383136305152,Large
9735.T,9735,"Secom Co., Ltd.",Services,2643533758464,Mid
3697.T,3697,SHIFT Inc.,Services,158756323328,Small
9602.T,9602,"Toho Co., Ltd.",Services,1025256652800,Small
4704.T,4704,Trend Micro Inc.,Services,732666396672,Small
7012.T,7012,"Kawasaki Heavy Industries , Ltd.",Shipbuilding,2710655205376,Mid
5411.T,5411,"JFE Holdings , Inc.",Steel,1022271094784,Small
5406.T,5406,"Kobe Steel , Ltd.",Steel,777460645888,Small
5401.T,5401,Nippon Steel Corp.,Steel,2938744864768,Mid
3401.T,3401,Teijin Ltd.,Textiles & apparel,310594600960,Small
3402.T,3402,"Toray Industries , Inc.",Textiles & apparel,1707269685248,Mid
8001.T,8001,Itochu Corp.,Trading companies,12913863557120,Large
8002.T,8002,Marubeni Corp.,Trading companies,8032771112960,Large
8058.T,8058,Mitsubishi Corp.,Trading companies,16875847155712,Large
8031.T,8031,"Mitsui & Co. , Ltd.",Trading companies,13431218372608,Large
2768.T,2768,Sojitz Corp.,Trading companies,1101887045632,Small
8053.T,8053,Sumitomo Corp.,Trading companies,7755101896704,Large
8015.T,8015,Toyota Tsusho Corp.,Trading companies,6515194331136,Large
