gate_id,model_id,base_commit,classification,source_run_id,universe_id,split,score_group,exit_reason_group,exit_count,total_net_pnl_jpy,share_of_score_group_net_pnl,trade_count,closed_trade_count,open_trade_count,win_rate,average_win,average_loss,payoff_ratio,expectancy_per_trade,profit_factor,max_consecutive_losses,average_holding_sessions,median_holding_sessions,sum_net_returns,sample_status,mean_mfe,mean_mae,horizon_10_available_count,horizon_10_mean_unrealized_return,horizon_20_available_count,horizon_20_mean_unrealized_return,horizon_40_available_count,horizon_40_mean_unrealized_return,horizon_60_available_count,horizon_60_mean_unrealized_return
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,overall,100,other,0,0.0,0.0,0,0,0,,,,,,,0,,,0.0,INSUFFICIENT_SAMPLE,,,0,,0,,0,,0,
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,overall,120,stop_loss,9,-843963.3934019473,5.808804367459611,9,9,0,0.0,,-0.10269640359640352,,-0.10269640359640352,0.0,9,24.88888888888889,24.0,-0.9242676323676317,INSUFFICIENT_SAMPLE,0.06072467942299369,-0.10089910089910083,8,0.009409729137560358,5,0.005058157383751127,2,-0.026266125134386198,0,
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,overall,120,stop_gap,3,-348024.0248388407,2.395368675074652,3,3,0,0.0,,-0.11508285170501402,,-0.11508285170501402,0.0,3,21.666666666666668,25.0,-0.34524855511504204,INSUFFICIENT_SAMPLE,0.06672493845095355,-0.11331035911288063,3,-0.023764462680983495,2,0.03915814321795896,0,,0,
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,overall,120,take_profit,0,0.0,-0.0,0,0,0,,,,,,,0,,,0.0,INSUFFICIENT_SAMPLE,,,0,,0,,0,,0,
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,overall,120,take_profit_gap,0,0.0,-0.0,0,0,0,,,,,,,0,,,0.0,INSUFFICIENT_SAMPLE,,,0,,0,,0,,0,
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,overall,120,max_holding,11,1046697.038325473,-7.204173042534262,11,11,0,0.9090909090909091,0.11263527573411543,-0.05405040463927269,2.0838932934144094,0.09748203206380741,20.838932934144093,1,60.0,60.0,1.0723023527018816,INSUFFICIENT_SAMPLE,0.15425550029492885,-0.052520065030757054,11,0.016549733767778383,11,0.013372755782061147,11,0.06479802665845215,11,0.09968029296945335
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,overall,120,data_end_or_haircut,0,0.0,-0.0,0,0,0,,,,,,,0,,,0.0,INSUFFICIENT_SAMPLE,,,0,,0,,0,,0,
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,overall,120,other,0,0.0,-0.0,0,0,0,,,,,,,0,,,0.0,INSUFFICIENT_SAMPLE,,,0,,0,,0,,0,
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,validation,ALL,stop_loss,23,-2217694.2682836135,-0.7749443078231509,23,23,0,0.0,,-0.10269640359640346,,-0.10269640359640346,0.0,23,23.347826086956523,21.0,-2.3620172827172796,INSUFFICIENT_SAMPLE,0.037526935990102706,-0.10089910089910076,19,-0.015205831208957027,13,-0.022112290004676603,3,-0.010536152956608,0,
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,validation,ALL,stop_gap,2,-213991.12967318928,-0.07477640639493063,2,2,0,0.0,,-0.10572238771834447,,-0.10572238771834447,0.0,2,30.0,30.0,-0.21144477543668894,INSUFFICIENT_SAMPLE,0.028525210998894268,-0.10393114607935705,2,-0.03804834984619232,1,-0.019415718179026653,1,-0.044650522061005726,0,
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,validation,ALL,take_profit,6,1633400.9046259504,0.5707706204303484,6,6,0,1.0,0.29610519480519504,,,0.29610519480519504,,0,32.166666666666664,34.5,1.7766311688311702,INSUFFICIENT_SAMPLE,0.2987012987012989,-0.020240801947058,6,0.0931067117804067,4,0.058593776639159656,2,0.20966239696897404,0,
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,validation,ALL,take_profit_gap,2,520431.0752671184,0.18185784450111495,2,2,0,1.0,0.29869126338747465,,,0.29869126338747465,,0,30.5,30.5,0.5973825267749493,INSUFFICIENT_SAMPLE,0.301292547189306,-0.025547154549521445,2,0.08788744155148742,2,0.13940261759369932,0,,0,
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,validation,ALL,max_holding,43,3139600.057010221,1.0970922492866184,43,43,0,0.9069767441860465,0.09133840709337168,-0.020429877606334967,4.4708249776811755,0.08094135735386407,43.590543532391465,1,60.0,60.0,3.480478366216155,SUFFICIENT,0.14582500131766893,-0.05230425847251568,43,0.012106684232771482,43,0.029922079757622098,43,0.04305025968358749,43,0.08310648722182046
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,validation,ALL,data_end_or_haircut,0,0.0,0.0,0,0,0,,,,,,,0,,,0.0,INSUFFICIENT_SAMPLE,,,0,,0,,0,,0,
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,validation,ALL,other,0,0.0,0.0,0,0,0,,,,,,,0,,,0.0,INSUFFICIENT_SAMPLE,,,0,,0,,0,,0,
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,validation,90,stop_loss,7,-769103.7650042891,-0.90897349694777,7,7,0,0.0,,-0.10269640359640352,,-0.10269640359640352,0.0,7,28.0,23.0,-0.7188748251748246,INSUFFICIENT_SAMPLE,0.05538601646303646,-0.10089910089910079,6,-0.013268920469148812,5,-0.007326340349469174,2,0.026771373374601448,0,
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,validation,90,stop_gap,1,-96937.67420052469,-0.11456682532758523,1,1,0,0.0,,-0.10805254804539077,,-0.10805254804539077,0.0,1,13.0,13.0,-0.10805254804539077,INSUFFICIENT_SAMPLE,0.0005384116823650142,-0.10626597372687074,1,-0.05936078369551501,0,,0,,0,
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,validation,90,take_profit,2,554999.0868427611,0.6559315969119853,2,2,0,1.0,0.29610519480519504,,,0.29610519480519504,,0,30.5,30.5,0.5922103896103901,INSUFFICIENT_SAMPLE,0.2987012987012989,-0.004170929773894272,2,0.10215694961233035,1,0.018689744261276342,1,0.17834900644437668,0,
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,validation,90,take_profit_gap,1,241732.51984229978,0.2856941597286629,1,1,0,1.0,0.29735824372560793,,,0.29735824372560793,,0,31.0,31.0,0.29735824372560793,INSUFFICIENT_SAMPLE,0.2999568574837177,-0.025472522866043512,1,0.13474789342878934,1,0.1444315449630924,0,,0,
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,validation,90,max_holding,18,915433.2537051367,1.081914565634707,18,18,0,0.7777777777777778,0.07276686357680233,-0.020429877606334967,3.5617865647045543,0.05205647664721627,12.466252976465942,1,60.0,60.0,0.9370165796498928,INSUFFICIENT_SAMPLE,0.13792412801533413,-0.053970816767555635,18,0.01347578080597528,18,0.050285939949231084,18,0.03292755690018884,18,0.05416374998343309
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,validation,90,data_end_or_haircut,0,0.0,0.0,0,0,0,,,,,,,0,,,0.0,INSUFFICIENT_SAMPLE,,,0,,0,,0,,0,
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,validation,90,other,0,0.0,0.0,0,0,0,,,,,,,0,,,0.0,INSUFFICIENT_SAMPLE,,,0,,0,,0,,0,
