gate_id,model_id,base_commit,classification,source_run_id,universe_id,split,disposition_group,signal_count,contained_quality_count,cross_boundary_or_censored_count,capacity_binding_session_count,quality_scope,attribute_distribution_scope,trade_count,closed_trade_count,open_trade_count,win_rate,average_win,average_loss,payoff_ratio,expectancy_per_trade,profit_factor,max_consecutive_losses,average_holding_sessions,median_holding_sessions,sum_net_returns,sample_status,score_mean,score_p25,score_median,score_p75,liquidity_mean,liquidity_p25,liquidity_median,liquidity_p75,sector_distinct_count,sector_top_signal_share,sector_signal_hhi,score_90_share,score_100_share,score_120_share,rejected_minus_binding_accepted_expectancy,comparison_ci_low,comparison_ci_high,comparison_same_direction_fraction,comparison_status,priority_quality_effect
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U15_ADJUSTED_STATIC,final_holdout,invalid_bar,0,0,0,3,COUNT_ONLY,SIGNAL_COHORT,0,,,,,,,,,,,,,COUNT_ONLY,,,,,,,,,0,,,,,,0.028725504536770252,,,,INSUFFICIENT_SAMPLE,NOT_ROBUST
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U50_PIT_LITE,overall,accepted_all,655,655,0,1330,FROZEN_ONE_SHOT,SIGNAL_COHORT,655,645,10,0.4325581395348837,0.14056371624557631,-0.089410885431375,1.5721096549643538,0.010066500410283024,1.1984114582924992,24,41.91937984496124,59.0,6.4928927646325505,SUFFICIENT,97.58778625954199,90.0,100.0,100.0,29063585822.290077,10854065700.0,16107325000.0,32600013950.0,28,0.17251908396946564,0.07541518559524502,0.3847328244274809,0.5435114503816794,0.0717557251908397,-0.0037979358900624826,-0.023925621322307047,0.0160791376857425,0.6288,SUFFICIENT,NOT_ROBUST
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U50_PIT_LITE,overall,accepted_binding,244,244,0,1330,FROZEN_ONE_SHOT,SIGNAL_COHORT,244,240,4,0.43333333333333335,0.15785407901422507,-0.08916286915860518,1.7704015191955098,0.017877808382954608,1.35383645585539,11,42.608333333333334,57.0,4.290674011909106,SUFFICIENT,99.8360655737705,90.0,100.0,100.0,35294918359.7541,13824256875.0,21232687650.0,44247896202.5,24,0.20081967213114754,0.09543805428648214,0.2540983606557377,0.6270491803278688,0.11885245901639344,-0.0037979358900624826,-0.023925621322307047,0.0160791376857425,0.6288,SUFFICIENT,NOT_ROBUST
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U50_PIT_LITE,overall,capacity_rejected,3193,3190,3,1330,FROZEN_ONE_SHOT,SIGNAL_COHORT,3190,3179,11,0.4617804340987732,0.13757882899601204,-0.09187948936951584,1.4973834741582543,0.014079872492892125,1.284721765087269,126,43.43630072349796,60.0,44.759914654904065,SUFFICIENT,96.78672095208267,90.0,100.0,100.0,21346053012.49765,9647769350.0,13081056000.0,21021767150.0,29,0.16379580331976198,0.07052942012500135,0.39711869715001563,0.5649859066708425,0.03789539617914187,-0.0037979358900624826,-0.023925621322307047,0.0160791376857425,0.6288,SUFFICIENT,NOT_ROBUST
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U50_PIT_LITE,overall,duplicate_rejected,1977,1975,2,1330,COUNT_ONLY,SIGNAL_COHORT,1977,,,,,,,,,,,,,COUNT_ONLY,96.65149215983814,90.0,100.0,100.0,25903294059.329792,10671900450.0,15539796350.0,28624729325.0,28,0.165402124430956,0.07699341619315095,0.4026302478502782,0.5634800202326757,0.03388973191704603,-0.0037979358900624826,-0.023925621322307047,0.0160791376857425,0.6288,SUFFICIENT,NOT_ROBUST
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U50_PIT_LITE,overall,missing_next_session,0,0,0,1330,COUNT_ONLY,SIGNAL_COHORT,0,,,,,,,,,,,,,COUNT_ONLY,,,,,,,,,0,,,,,,-0.0037979358900624826,-0.023925621322307047,0.0160791376857425,0.6288,SUFFICIENT,NOT_ROBUST
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U50_PIT_LITE,overall,invalid_bar,0,0,0,1330,COUNT_ONLY,SIGNAL_COHORT,0,,,,,,,,,,,,,COUNT_ONLY,,,,,,,,,0,,,,,,-0.0037979358900624826,-0.023925621322307047,0.0160791376857425,0.6288,SUFFICIENT,NOT_ROBUST
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U50_PIT_LITE,development,accepted_all,362,352,10,691,FROZEN_ONE_SHOT,SIGNAL_COHORT,352,352,0,0.4318181818181818,0.11761894499065507,-0.08770623573033344,1.3410556730799956,0.0009569104900934105,1.0192023115407967,24,44.05113636363637,60.0,0.3368324925128805,SUFFICIENT,97.01657458563535,90.0,100.0,100.0,17963497020.469612,9543519987.5,12569223125.0,18304036250.0,26,0.17403314917127072,0.08282714202863159,0.4198895027624309,0.5193370165745856,0.06077348066298342,-0.0015177051809232664,-0.029600793629691372,0.02624441984276642,0.532,SUFFICIENT,NOT_ROBUST
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U50_PIT_LITE,development,accepted_binding,116,113,3,691,FROZEN_ONE_SHOT,SIGNAL_COHORT,113,113,0,0.40707964601769914,0.13345407179947222,-0.08588590945216003,1.553852927106844,0.0034029324732831935,1.0668243977151466,9,45.1858407079646,60.0,0.38453136948100086,SUFFICIENT,99.56896551724138,90.0,100.0,100.0,21366001361.12069,11466506100.0,15006698237.5,23829121300.0,20,0.19827586206896552,0.1006242568370987,0.2672413793103448,0.6206896551724138,0.11206896551724138,-0.0015177051809232664,-0.029600793629691372,0.02624441984276642,0.532,SUFFICIENT,NOT_ROBUST
V2-R2B_ROOT_CAUSE_DIAGNOSTIC_AND_STOP_DECISION,TGS_STABLE_V2_ROOT_CAUSE_DIAGNOSTIC,9dae034999aa33b3f0d059adc059d3c8dbe659c2,POST_HOC_ASSOCIATION_DIAGNOSTIC_ONLY,v2-r2a-20260727-d3b8ed0-integrity1,U50_PIT_LITE,development,capacity_rejected,1657,1616,41,691,FROZEN_ONE_SHOT,SIGNAL_COHORT,1616,1616,0,0.43254950495049505,0.12182366982366165,-0.08954004133291804,1.3605496268502952,0.001885227292359927,1.03710380498185,126,44.12252475247525,60.0,3.046527304453642,SUFFICIENT,96.54797827398913,90.0,100.0,100.0,15039127896.071213,8640012650.0,10898835300.0,15352833900.0,25,0.1756185878092939,0.07703643109516183,0.407966203983102,0.5606517803258901,0.03138201569100785,-0.0015177051809232664,-0.029600793629691372,0.02624441984276642,0.532,SUFFICIENT,NOT_ROBUST
